id_alumno,genero,edad,provincia,situacion_laboral,horas_trabajo_sem,horas_estudio_sem,materia,asistencia_pct,parcial_1_pct,parcial_2_pct,parcial_3_pct,nota_final_pct,condicion_cursado,aprobado
23,F,18,Buenos Aires,Part-time,26,10.0,Proyecto Integrador,84,52,39,79,75,Regular,Si
24,M,35,Buenos Aires,Full-time,46,6.0,Proyecto Integrador,83,42,53,51,60,Regular,No
25,M,26,Buenos Aires,No trabaja,0,17.0,Proyecto Integrador,90,79,72,100,84,Promocion,Si
26,M,20,CABA,Part-time,13,4.0,Proyecto Integrador,92,82,66,67,62,Regular,No
27,F,18,Rio Negro,Part-time,28,7.0,Proyecto Integrador,80,65,37,48,47,Regular,No
28,M,22,Tucuman,No trabaja,0,6.0,Proyecto Integrador,63,48,32,50,59,Libre,No
29,M,29,CABA,No trabaja,0,3.0,Proyecto Integrador,91,67,83,66,65,Regular,No
30,M,35,Santa Fe,Part-time,12,6.0,Proyecto Integrador,97,68,56,62,64,Regular,No
31,M,22,Buenos Aires,Part-time,8,17.0,Proyecto Integrador,88,70,99,69,52,Regular,No
32,F,19,Santa Fe,Part-time,23,8.0,Proyecto Integrador,91,67,64,50,64,Regular,No
33,M,28,Buenos Aires,No trabaja,0,2.0,Proyecto Integrador,84,46,57,56,64,Regular,No
34,M,27,Buenos Aires,Full-time,39,11.0,Proyecto Integrador,93,69,56,64,68,Regular,No
35,F,23,Buenos Aires,Part-time,21,6.0,Proyecto Integrador,45,36,32,37,48,Libre,No
36,F,23,Cordoba,Full-time,45,0.0,Proyecto Integrador,70,40,47,38,40,Libre,No
37,F,18,CABA,Part-time,25,12.0,Proyecto Integrador,88,70,46,70,65,Regular,No
38,F,20,Misiones,Part-time,28,0.0,Proyecto Integrador,85,49,56,58,75,Regular,Si
39,M,25,Mendoza,Full-time,41,6.0,Proyecto Integrador,73,30,55,58,32,Libre,No
40,M,41,CABA,Part-time,9,8.0,Proyecto Integrador,82,82,73,68,61,Regular,No
41,M,29,La Pampa,No trabaja,0,11.0,Proyecto Integrador,80,57,59,54,60,Regular,No
42,M,31,CABA,Full-time,47,0.0,Proyecto Integrador,83,70,58,45,50,Regular,No
43,X,32,Chaco,No trabaja,0,15.0,Proyecto Integrador,100,84,79,86,97,Promocion,Si
44,M,29,CABA,Part-time,22,20.0,Proyecto Integrador,83,75,62,82,73,Regular,Si
45,F,40,CABA,Part-time,8,17.0,Proyecto Integrador,85,54,78,89,79,Regular,Si
46,F,22,Cordoba,No trabaja,0,6.0,Proyecto Integrador,83,58,61,65,70,Regular,Si
47,F,28,Corrientes,No trabaja,0,26.0,Proyecto Integrador,100,76,80,88,88,Promocion,Si
48,M,23,Chaco,Part-time,10,17.0,Proyecto Integrador,100,68,71,64,70,Regular,Si
49,F,29,Buenos Aires,No trabaja,0,13.0,Proyecto Integrador,92,69,61,74,81,Regular,Si
50,F,32,Buenos Aires,No trabaja,0,,Proyecto Integrador,85,67,57,64,72,Regular,Si
51,F,18,San Juan,Full-time,36,7.0,Proyecto Integrador,84,55,50,42,60,Regular,No
52,F,18,Santa Fe,Full-time,39,4.0,Proyecto Integrador,85,67,49,59,65,Regular,No
53,M,25,San Juan,Part-time,9,1.0,Proyecto Integrador,74,54,42,49,48,Libre,No
54,M,25,Chaco,No trabaja,0,17.0,Proyecto Integrador,87,96,78,69,76,Regular,Si
55,M,24,Mendoza,No trabaja,0,13.0,Proyecto Integrador,73,60,75,51,46,Libre,No
56,F,24,Buenos Aires,No trabaja,0,8.0,Proyecto Integrador,96,59,65,52,57,Regular,No
57,M,19,La Pampa,Full-time,41,12.0,Proyecto Integrador,69,64,64,55,54,Libre,No
58,M,24,Buenos Aires,Part-time,31,11.0,Proyecto Integrador,80,77,63,54,68,Regular,No
59,F,25,Tierra del Fuego,Part-time,27,14.0,Proyecto Integrador,90,72,82,72,68,Promocion,No
60,F,18,Corrientes,No trabaja,0,16.0,Proyecto Integrador,88,74,59,79,68,Regular,No
61,F,34,Cordoba,No trabaja,0,12.0,Proyecto Integrador,82,56,67,56,54,Regular,No
62,M,33,Buenos Aires,Part-time,14,11.0,Proyecto Integrador,71,45,71,71,81,Libre,Si
63,M,27,Buenos Aires,No trabaja,0,11.0,Proyecto Integrador,95,72,67,61,64,Regular,No
64,F,30,Buenos Aires,No trabaja,0,12.0,Proyecto Integrador,94,78,67,53,57,Regular,No
65,F,28,CABA,No trabaja,0,8.0,Proyecto Integrador,90,60,67,72,56,Regular,No
66,M,28,Salta,No trabaja,0,17.0,Proyecto Integrador,100,67,92,72,68,Regular,No
67,M,25,Misiones,No trabaja,0,7.0,Proyecto Integrador,97,62,73,68,64,Regular,No
68,F,24,Mendoza,Full-time,40,8.0,Proyecto Integrador,97,76,70,73,71,Promocion,Si
69,X,32,Buenos Aires,No trabaja,0,11.0,Proyecto Integrador,90,83,73,68,100,Regular,Si
70,F,20,Buenos Aires,Full-time,30,7.0,Proyecto Integrador,84,74,64,49,72,Regular,Si
71,M,20,Buenos Aires,Part-time,22,11.0,Proyecto Integrador,88,75,63,61,82,Regular,Si
72,M,42,Buenos Aires,No trabaja,0,,Proyecto Integrador,81,52,71,63,74,Regular,Si
73,M,19,Misiones,Full-time,43,15.0,Proyecto Integrador,69,64,58,65,70,Libre,Si
74,F,18,Rio Negro,No trabaja,0,15.0,Proyecto Integrador,100,82,67,76,95,Regular,Si
75,M,25,Buenos Aires,Part-time,20,11.0,Proyecto Integrador,100,71,77,83,68,Promocion,No
76,M,21,Buenos Aires,Part-time,14,9.0,Proyecto Integrador,96,65,58,71,62,Regular,No
77,F,36,Buenos Aires,Part-time,31,3.0,Proyecto Integrador,81,46,69,57,70,Regular,Si
78,M,35,Misiones,No trabaja,0,9.0,Proyecto Integrador,70,66,57,42,44,Libre,No
79,F,27,CABA,Part-time,22,18.0,Proyecto Integrador,100,75,90,78,75,Promocion,Si
80,M,30,Corrientes,Part-time,20,15.0,Proyecto Integrador,94,57,88,60,85,Regular,Si
81,M,22,Buenos Aires,Part-time,17,12.0,Proyecto Integrador,93,54,73,70,89,Regular,Si
82,F,31,Misiones,Full-time,55,8.0,Proyecto Integrador,73,64,52,50,68,Libre,No
83,F,27,CABA,Part-time,15,13.0,Proyecto Integrador,88,75,44,64,46,Regular,No
84,M,30,Buenos Aires,No trabaja,0,13.0,Proyecto Integrador,87,60,74,70,75,Regular,Si
85,F,18,Entre Rios,No trabaja,0,12.0,Proyecto Integrador,100,65,59,57,66,Regular,No
86,M,29,Buenos Aires,No trabaja,0,4.0,Proyecto Integrador,85,65,46,63,76,Regular,Si
87,M,36,Santa Fe,Full-time,39,5.0,Proyecto Integrador,70,53,62,47,49,Libre,No
88,F,31,Rio Negro,No trabaja,0,18.0,Proyecto Integrador,81,86,55,79,72,Regular,Si
89,F,27,San Juan,Part-time,25,8.0,Proyecto Integrador,76,50,44,64,61,Libre,No
90,F,33,Buenos Aires,Full-time,36,3.0,Proyecto Integrador,69,58,23,57,43,Libre,No
91,M,41,Santa Fe,Full-time,47,5.0,Proyecto Integrador,79,55,50,31,41,Libre,No
92,M,33,San Juan,No trabaja,0,18.0,Proyecto Integrador,100,94,75,81,88,Promocion,Si
93,F,25,Santa Fe,No trabaja,0,13.0,Proyecto Integrador,81,83,52,72,73,Regular,Si
94,F,26,Buenos Aires,No trabaja,0,13.0,Proyecto Integrador,97,67,66,66,75,Regular,Si
95,M,30,Buenos Aires,Part-time,17,4.0,Proyecto Integrador,93,49,54,69,73,Regular,Si
96,F,18,Buenos Aires,No trabaja,0,5.0,Proyecto Integrador,87,47,61,52,52,Regular,No
97,F,28,Salta,Part-time,23,12.0,Proyecto Integrador,96,72,76,71,70,Promocion,Si
98,M,29,Buenos Aires,No trabaja,0,11.0,Proyecto Integrador,83,93,72,70,71,Promocion,Si
99,F,27,Buenos Aires,No trabaja,0,6.0,Proyecto Integrador,87,41,62,66,60,Regular,No
100,F,18,Tucuman,No trabaja,0,4.0,Proyecto Integrador,87,71,26,60,59,Regular,No
101,F,26,Buenos Aires,No trabaja,0,16.0,Proyecto Integrador,85,72,65,56,67,Regular,No
102,M,41,San Luis,No trabaja,0,7.0,Proyecto Integrador,79,54,56,44,52,Libre,No
103,F,25,Buenos Aires,No trabaja,0,14.0,Proyecto Integrador,90,56,51,59,73,Regular,Si
104,M,28,Buenos Aires,No trabaja,0,15.0,Proyecto Integrador,88,78,85,57,78,Regular,Si
105,F,31,CABA,Part-time,25,13.0,Proyecto Integrador,100,73,72,75,82,Promocion,Si
106,F,22,Tucuman,Part-time,22,4.0,Proyecto Integrador,82,54,59,46,44,Regular,No
107,M,48,Santa Fe,Full-time,51,0.0,Proyecto Integrador,89,61,58,57,63,Regular,No
108,M,18,Buenos Aires,Part-time,10,15.0,Proyecto Integrador,90,81,65,74,80,Regular,Si
109,M,30,Buenos Aires,Full-time,35,4.0,Proyecto Integrador,89,67,50,55,46,Regular,No
110,F,20,Buenos Aires,No trabaja,0,11.0,Proyecto Integrador,81,71,58,70,87,Regular,Si
111,F,18,Santa Fe,No trabaja,0,6.0,Proyecto Integrador,86,85,40,60,89,Regular,Si
112,M,18,Salta,Part-time,16,7.0,Proyecto Integrador,89,66,57,79,62,Regular,No
113,M,37,CABA,No trabaja,0,12.0,Proyecto Integrador,94,87,95,71,83,Promocion,Si
114,F,19,Santa Fe,Part-time,16,6.0,Proyecto Integrador,90,74,42,45,77,Regular,Si
115,F,34,Chaco,No trabaja,0,15.0,Proyecto Integrador,93,78,69,74,89,Regular,Si
116,M,24,Buenos Aires,Part-time,18,5.0,Proyecto Integrador,88,58,83,81,73,Regular,Si
117,M,31,Buenos Aires,No trabaja,0,13.0,Proyecto Integrador,77,69,83,62,48,Libre,No
118,M,31,Buenos Aires,No trabaja,0,15.0,Proyecto Integrador,87,94,65,56,50,Regular,No
119,F,19,Chaco,Part-time,19,9.0,Proyecto Integrador,93,69,70,83,76,Regular,Si
120,M,27,Cordoba,No trabaja,0,10.0,Proyecto Integrador,100,81,63,84,69,Regular,No
121,M,23,Buenos Aires,Part-time,30,14.0,Proyecto Integrador,85,62,63,88,59,Regular,No
122,M,34,Buenos Aires,No trabaja,0,12.0,Proyecto Integrador,94,55,55,86,86,Regular,Si
123,M,22,Tucuman,No trabaja,0,19.0,Proyecto Integrador,93,87,93,68,72,Regular,Si
124,F,18,Cordoba,No trabaja,0,15.0,Proyecto Integrador,99,70,75,81,85,Promocion,Si
125,M,23,Misiones,Full-time,47,13.0,Proyecto Integrador,75,53,73,79,66,Libre,No
126,M,21,Cordoba,No trabaja,0,9.0,Proyecto Integrador,99,68,66,49,57,Regular,No
127,M,28,Buenos Aires,No trabaja,0,14.0,Proyecto Integrador,76,63,78,67,64,Libre,No
128,F,20,CABA,Full-time,42,0.0,Proyecto Integrador,55,49,43,36,52,Libre,No
129,M,37,Buenos Aires,No trabaja,0,14.0,Proyecto Integrador,84,71,60,73,67,Regular,No
130,M,18,Santa Fe,Part-time,15,8.0,Proyecto Integrador,78,57,63,64,57,Libre,No
131,F,33,Buenos Aires,No trabaja,0,18.0,Proyecto Integrador,67,71,69,75,83,Libre,Si
132,F,23,Buenos Aires,No trabaja,0,14.0,Proyecto Integrador,94,82,51,70,90,Regular,Si
133,M,19,CABA,No trabaja,0,7.0,Proyecto Integrador,87,68,53,48,68,Regular,No
134,M,29,Buenos Aires,Part-time,24,2.0,Proyecto Integrador,74,58,64,53,70,Libre,Si
135,M,29,San Juan,No trabaja,0,9.0,Proyecto Integrador,80,55,51,58,52,Regular,No
136,M,35,Chaco,Full-time,46,7.0,Proyecto Integrador,79,54,72,66,84,Libre,Si
137,M,26,Buenos Aires,Part-time,18,7.0,Proyecto Integrador,91,67,62,43,59,Regular,No
138,M,35,Buenos Aires,Part-time,14,16.0,Proyecto Integrador,100,72,90,72,90,Promocion,Si
139,F,20,Buenos Aires,No trabaja,0,6.0,Proyecto Integrador,95,73,68,62,53,Regular,No
140,F,35,Buenos Aires,No trabaja,0,9.0,Proyecto Integrador,78,52,58,80,67,Libre,No
141,M,18,Salta,Part-time,24,12.0,Proyecto Integrador,77,60,61,69,76,Libre,Si
142,F,34,San Luis,Full-time,48,4.0,Proyecto Integrador,65,44,26,54,51,Libre,No
143,M,38,Mendoza,No trabaja,0,3.0,Proyecto Integrador,74,70,58,39,71,Libre,Si
144,M,19,Buenos Aires,No trabaja,0,12.0,Proyecto Integrador,100,80,80,86,79,Promocion,Si
145,F,31,Santa Fe,Full-time,39,1.0,Proyecto Integrador,84,60,49,36,64,Regular,No
146,F,25,Buenos Aires,Part-time,28,14.0,Proyecto Integrador,87,57,83,58,82,Regular,Si
147,M,29,Cordoba,No trabaja,0,3.0,Proyecto Integrador,67,49,47,45,51,Libre,No
148,F,22,Santa Fe,No trabaja,0,8.0,Proyecto Integrador,89,82,68,61,68,Regular,No
149,F,36,Buenos Aires,Full-time,42,10.0,Proyecto Integrador,98,68,65,87,69,Regular,No
150,M,18,Chaco,No trabaja,0,13.0,Proyecto Integrador,91,70,50,87,87,Regular,Si
151,F,27,Buenos Aires,No trabaja,0,12.0,Proyecto Integrador,100,92,70,57,76,Regular,Si
152,F,32,Buenos Aires,Part-time,18,20.0,Proyecto Integrador,63,43,68,72,87,Libre,Si
153,M,20,Salta,Part-time,21,13.0,Proyecto Integrador,100,81,77,64,70,Regular,Si
154,M,37,CABA,Full-time,39,4.0,Proyecto Integrador,79,62,52,57,45,Libre,No
155,M,20,Buenos Aires,Full-time,46,3.0,Proyecto Integrador,67,44,34,46,43,Libre,No
156,F,29,Cordoba,Part-time,24,11.0,Proyecto Integrador,94,71,64,65,53,Regular,No
157,M,25,Misiones,Part-time,27,7.0,Proyecto Integrador,69,46,46,62,58,Libre,No
158,M,31,Tucuman,No trabaja,0,11.0,Proyecto Integrador,90,55,85,70,73,Regular,Si
159,F,29,Buenos Aires,Part-time,29,1.0,Proyecto Integrador,76,38,59,53,50,Libre,No
160,F,18,CABA,Full-time,42,6.0,Proyecto Integrador,78,58,50,53,61,Libre,No
161,F,18,Tucuman,Full-time,36,9.0,Proyecto Integrador,93,56,38,81,64,Regular,No
162,F,32,Cordoba,Full-time,42,8.0,Proyecto Integrador,70,50,46,56,79,Libre,Si
163,F,27,CABA,No trabaja,0,14.0,Proyecto Integrador,86,50,76,66,80,Regular,Si
164,M,29,Entre Rios,Part-time,12,4.0,Proyecto Integrador,80,54,51,40,80,Regular,Si
165,M,19,Buenos Aires,No trabaja,0,12.0,Proyecto Integrador,78,56,62,68,49,Libre,No
166,M,23,Santa Fe,Part-time,26,7.0,Proyecto Integrador,85,68,49,69,82,Regular,Si
167,M,20,Buenos Aires,Part-time,16,13.0,Proyecto Integrador,79,55,39,54,69,Libre,No
168,F,18,San Luis,No trabaja,0,14.0,Proyecto Integrador,89,66,79,63,86,Regular,Si
169,M,18,Chaco,Full-time,39,2.0,Proyecto Integrador,84,52,52,43,52,Regular,No
170,M,18,San Juan,No trabaja,0,9.0,Proyecto Integrador,78,52,65,51,44,Libre,No
171,M,25,Buenos Aires,No trabaja,0,9.0,Proyecto Integrador,90,63,71,55,49,Regular,No
172,F,19,Buenos Aires,No trabaja,0,6.0,Proyecto Integrador,94,69,64,73,72,Regular,Si
173,F,26,CABA,Part-time,17,4.0,Proyecto Integrador,79,49,40,54,58,Libre,No
174,F,36,Buenos Aires,No trabaja,0,11.0,Proyecto Integrador,93,54,75,67,68,Regular,No
175,M,29,Buenos Aires,Full-time,41,6.0,Proyecto Integrador,71,49,52,40,66,Libre,No
176,F,18,Mendoza,No trabaja,0,10.0,Proyecto Integrador,77,61,40,69,48,Libre,No
177,F,34,Buenos Aires,No trabaja,0,10.0,Proyecto Integrador,72,59,58,54,58,Libre,No
178,F,32,Neuquen,Full-time,51,6.0,Proyecto Integrador,83,53,61,66,58,Regular,No
179,M,25,Buenos Aires,Part-time,17,12.0,Proyecto Integrador,83,56,40,65,62,Regular,No
180,F,23,Buenos Aires,No trabaja,0,15.0,Proyecto Integrador,96,77,52,69,76,Regular,Si
181,F,34,Buenos Aires,No trabaja,0,4.0,Proyecto Integrador,70,29,57,37,55,Libre,No
182,M,30,Buenos Aires,Part-time,30,4.0,Proyecto Integrador,74,38,63,55,49,Libre,No
183,F,21,Tucuman,No trabaja,0,6.0,Proyecto Integrador,91,63,64,44,69,Regular,No
184,F,18,Buenos Aires,Part-time,20,13.0,Proyecto Integrador,98,69,75,96,81,Regular,Si
185,F,30,CABA,Part-time,23,18.0,Proyecto Integrador,100,69,90,83,92,Regular,Si
186,F,29,Buenos Aires,No trabaja,0,6.0,Proyecto Integrador,99,56,60,68,84,Regular,Si
187,F,23,Jujuy,No trabaja,0,13.0,Proyecto Integrador,86,53,62,59,84,Regular,Si
188,M,30,Chaco,Part-time,22,10.0,Proyecto Integrador,100,95,64,82,69,Regular,No
189,F,30,Buenos Aires,No trabaja,0,10.0,Proyecto Integrador,93,66,76,75,72,Regular,Si
190,F,19,Salta,No trabaja,0,7.0,Proyecto Integrador,100,54,88,67,67,Regular,No
191,M,25,CABA,Part-time,23,12.0,Proyecto Integrador,77,66,64,55,75,Libre,Si
192,M,24,Neuquen,Part-time,15,7.0,Proyecto Integrador,95,70,52,75,55,Regular,No
193,F,29,Buenos Aires,No trabaja,0,13.0,Proyecto Integrador,91,65,80,64,61,Regular,No
194,F,29,Salta,Part-time,21,6.0,Proyecto Integrador,85,54,63,58,67,Regular,No
195,M,20,Mendoza,Part-time,16,0.0,Proyecto Integrador,68,54,48,53,58,Libre,No
196,F,23,Santa Fe,Part-time,18,9.0,Proyecto Integrador,84,66,58,58,62,Regular,No
197,M,38,Buenos Aires,No trabaja,0,14.0,Proyecto Integrador,88,79,58,62,72,Regular,Si
198,F,24,Tierra del Fuego,No trabaja,0,8.0,Proyecto Integrador,95,48,65,70,60,Regular,No
199,M,32,Santa Fe,Part-time,19,7.0,Proyecto Integrador,94,71,49,86,70,Regular,Si
200,M,20,Mendoza,Part-time,11,10.0,Proyecto Integrador,71,31,52,53,64,Libre,No
201,F,22,Buenos Aires,No trabaja,0,8.0,Proyecto Integrador,89,62,58,60,81,Regular,Si
202,F,25,Buenos Aires,No trabaja,0,16.0,Proyecto Integrador,91,59,57,93,86,Regular,Si
203,M,18,Santa Fe,No trabaja,0,14.0,Proyecto Integrador,86,61,59,82,68,Regular,No
204,F,34,Buenos Aires,Full-time,47,8.0,Proyecto Integrador,77,42,71,37,50,Libre,No
205,F,29,Mendoza,No trabaja,0,18.0,Proyecto Integrador,97,90,85,90,92,Promocion,Si
206,M,35,CABA,No trabaja,0,6.0,Proyecto Integrador,96,68,68,53,63,Regular,No
207,F,33,CABA,No trabaja,0,7.0,Proyecto Integrador,78,53,67,49,64,Libre,No
208,M,18,Buenos Aires,No trabaja,0,14.0,Proyecto Integrador,97,74,66,88,53,Regular,No
209,F,31,Buenos Aires,No trabaja,0,11.0,Proyecto Integrador,93,87,70,78,83,Promocion,Si
210,F,27,Buenos Aires,No trabaja,0,7.0,Proyecto Integrador,96,75,60,50,64,Regular,No
211,F,30,CABA,Part-time,23,5.0,Proyecto Integrador,79,64,71,68,72,Libre,Si
212,M,22,Cordoba,Part-time,28,22.0,Proyecto Integrador,76,93,74,79,66,Libre,No
213,F,18,Buenos Aires,Part-time,30,8.0,Proyecto Integrador,65,53,53,64,61,Libre,No
214,F,43,Misiones,Part-time,19,10.0,Proyecto Integrador,91,58,66,73,69,Regular,No
215,M,31,Rio Negro,No trabaja,0,5.0,Proyecto Integrador,79,51,39,35,54,Libre,No
216,M,20,Jujuy,No trabaja,0,13.0,Proyecto Integrador,88,55,85,72,59,Regular,No
217,F,49,Santa Fe,No trabaja,0,10.0,Proyecto Integrador,95,75,51,64,71,Regular,Si
218,M,30,Jujuy,Part-time,30,,Proyecto Integrador,63,49,67,47,63,Libre,No
219,M,28,Cordoba,Part-time,27,6.0,Proyecto Integrador,93,60,47,80,64,Regular,No
220,M,30,Mendoza,No trabaja,0,5.0,Proyecto Integrador,84,56,64,71,57,Regular,No
221,M,25,San Luis,No trabaja,0,15.0,Proyecto Integrador,100,92,75,75,85,Promocion,Si
222,F,29,Entre Rios,Part-time,21,4.0,Proyecto Integrador,79,46,63,26,64,Libre,No
223,M,28,Buenos Aires,No trabaja,0,16.0,Proyecto Integrador,83,65,65,51,67,Regular,No
224,M,20,Buenos Aires,Part-time,22,15.0,Proyecto Integrador,95,94,79,73,72,Promocion,Si
225,F,18,Santa Fe,No trabaja,0,15.0,Proyecto Integrador,87,60,65,59,62,Regular,No
226,M,18,Salta,Part-time,17,6.0,Proyecto Integrador,90,53,73,55,64,Regular,No
227,F,30,Buenos Aires,No trabaja,0,18.0,Proyecto Integrador,84,73,74,86,87,Promocion,Si
228,M,32,Tucuman,No trabaja,0,4.0,Proyecto Integrador,90,50,56,60,57,Regular,No
229,F,18,Cordoba,Part-time,15,8.0,Proyecto Integrador,99,62,62,58,54,Regular,No
230,M,32,Cordoba,Full-time,52,17.0,Proyecto Integrador,77,77,73,73,87,Libre,Si
231,F,26,CABA,No trabaja,0,8.0,Proyecto Integrador,72,60,58,52,62,Libre,No
232,F,23,Santa Fe,No trabaja,0,1.0,Proyecto Integrador,85,50,61,63,56,Regular,No
233,F,32,San Luis,Full-time,47,4.0,Proyecto Integrador,75,40,63,48,62,Libre,No
234,M,22,Cordoba,Full-time,36,1.0,Proyecto Integrador,81,50,57,75,53,Regular,No
235,X,20,La Pampa,Part-time,14,12.0,Proyecto Integrador,65,36,67,42,77,Libre,Si
236,F,29,Mendoza,No trabaja,0,18.0,Proyecto Integrador,100,91,79,67,71,Regular,Si
237,F,35,Neuquen,No trabaja,0,14.0,Proyecto Integrador,75,65,59,73,73,Libre,Si
238,M,22,Buenos Aires,Full-time,33,6.0,Proyecto Integrador,79,57,56,63,63,Libre,No
239,M,27,Buenos Aires,Full-time,40,2.0,Proyecto Integrador,79,39,60,35,63,Libre,No
240,F,37,CABA,Full-time,45,,Proyecto Integrador,69,83,44,54,83,Libre,Si
241,M,31,Santa Fe,Part-time,22,,Proyecto Integrador,88,70,52,57,53,Regular,No
242,F,19,Chaco,Part-time,12,3.0,Proyecto Integrador,72,27,54,23,25,Libre,No
243,M,18,Buenos Aires,Part-time,14,9.0,Proyecto Integrador,86,77,46,61,72,Regular,Si
244,F,28,La Pampa,No trabaja,0,13.0,Proyecto Integrador,97,65,76,63,71,Regular,Si
245,M,18,Salta,No trabaja,0,8.0,Proyecto Integrador,100,79,72,56,82,Regular,Si
246,M,38,Neuquen,No trabaja,0,11.0,Proyecto Integrador,84,61,66,62,59,Regular,No
247,F,23,CABA,Part-time,17,15.0,Proyecto Integrador,93,72,62,53,83,Regular,Si
248,M,24,Buenos Aires,No trabaja,0,16.0,Proyecto Integrador,92,69,67,65,72,Regular,Si
249,F,23,Santa Fe,No trabaja,0,9.0,Proyecto Integrador,100,76,71,79,79,Promocion,Si
250,M,19,Santa Fe,No trabaja,0,18.0,Proyecto Integrador,85,65,75,82,83,Regular,Si
251,M,24,CABA,No trabaja,0,11.0,Proyecto Integrador,70,52,73,39,51,Libre,No
252,M,25,Buenos Aires,No trabaja,0,19.0,Proyecto Integrador,100,81,79,69,87,Regular,Si
253,F,35,Buenos Aires,No trabaja,0,4.0,Proyecto Integrador,67,54,44,42,51,Libre,No
254,M,21,Buenos Aires,No trabaja,0,11.0,Proyecto Integrador,96,72,63,77,72,Regular,Si
255,X,42,Cordoba,Part-time,26,7.0,Proyecto Integrador,82,63,50,49,42,Regular,No
256,F,18,Buenos Aires,Part-time,28,9.0,Proyecto Integrador,75,41,54,38,57,Libre,No
257,F,29,Jujuy,Full-time,51,9.0,Proyecto Integrador,76,69,53,71,56,Libre,No
258,F,18,Buenos Aires,Part-time,25,6.0,Proyecto Integrador,95,54,51,72,70,Regular,Si
259,M,35,Buenos Aires,No trabaja,0,10.0,Proyecto Integrador,92,69,56,71,72,Regular,Si
260,M,33,Santa Fe,No trabaja,0,9.0,Proyecto Integrador,94,67,58,73,56,Regular,No
261,M,21,Buenos Aires,No trabaja,0,6.0,Proyecto Integrador,97,65,59,51,50,Regular,No
262,M,30,Santa Fe,No trabaja,0,19.0,Proyecto Integrador,100,70,65,72,83,Regular,Si
263,F,29,Mendoza,No trabaja,0,10.0,Proyecto Integrador,100,53,67,67,61,Regular,No
264,M,28,Buenos Aires,Full-time,43,0.0,Proyecto Integrador,90,39,65,45,40,Regular,No
265,M,20,Buenos Aires,No trabaja,0,6.0,Proyecto Integrador,84,67,59,36,56,Regular,No
266,F,22,Tucuman,Full-time,50,1.0,Proyecto Integrador,77,43,32,54,53,Libre,No
267,F,26,Buenos Aires,No trabaja,0,8.0,Proyecto Integrador,68,44,53,64,68,Libre,No
268,M,25,Misiones,No trabaja,0,11.0,Proyecto Integrador,76,53,69,73,54,Libre,No
269,F,29,Cordoba,No trabaja,0,17.0,Proyecto Integrador,89,79,63,66,79,Regular,Si
270,F,18,Mendoza,No trabaja,0,17.0,Proyecto Integrador,95,57,47,75,87,Regular,Si
271,F,25,Jujuy,Full-time,30,4.0,Proyecto Integrador,80,66,50,48,45,Regular,No
272,F,34,Buenos Aires,Part-time,29,10.0,Proyecto Integrador,85,61,44,68,61,Regular,No
273,F,47,Buenos Aires,Part-time,21,6.0,Proyecto Integrador,95,51,64,64,66,Regular,No
